city_id,city_name
C001,Amsterdam
C002,Berlin
C003,Barcelona
C004,Budapest
C005,Copenhagen
C006,Dublin
C007,Edinburgh
C008,Florence
C009,Frankfurt
C010,Geneva
C011,Istanbul
C012,Krakow
C013,Lisbon
C014,London
C015,Madrid
C016,Milan
C017,Munich
C018,Oslo
C019,Paris
C020,Prague
C021,Rome
C022,Saint Petersburg
C023,Stockholm
C024,Vienna
C025,Venice
C026,Warsaw
C027,Zurich
C028,Athens 
C029,Belgrade 
C030,Brussels 
C031,Helsinki
C032,Kyiv 
C033,Luxembourg 
C034,Moscow 
C035,Reykjavik 
C036,Riga 
C037,Tallinn 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,